"Ingridients_Id";"Ingridients_Name";"Quantity";"Measure";"User_Id";"CreatedDate"
1;"a";1;"LBS";6;"2023-03-19 22:20:45"
2;"b";3;"TSP";6;"2023-03-19 22:20:45"
3;"g";1;"TSP";6;"2023-03-19 22:51:10"
4;"k";2;"TBSP";6;"2023-03-20 00:04:58"
5;"v";4;"CUP";6;"2023-04-09 17:34:37"
6;"h";3;"Ounce";6;"2023-04-09 17:35:08"
7;"hhhh";1;"TBSP";6;"2023-04-09 17:35:30"
8;"fgggg";6;"CUP";6;"2023-04-09 17:35:30"
9;"ffff";6;"Ounce";6;"2023-04-09 17:35:30"
10;"c";6;"TSP";6;"2023-04-10 13:02:16"
11;"d";1;"Ounce";6;"2023-04-10 13:02:16"
12;"ABC";1;"LBS";6;"2023-04-10 14:41:16"
13;"DEF";5;"TBSP";6;"2023-04-10 14:41:16"
14;"HIG";2;"TSP";6;"2023-04-10 14:41:16"
15;"KLM";1;"CUP";6;"2023-04-10 14:41:16"
16;"NOP";4;"Ounce";6;"2023-04-10 14:41:16"
17;"s";1;"LBS";6;"2023-04-10 14:55:13"
18;"t";2;"TBSP";6;"2023-04-10 14:55:13"
19;"u";3;"TSP";6;"2023-04-10 14:55:13"
20;"qq";1;"TBSP";6;"2023-04-10 15:13:39"
21;"vv";6;"Ounce";6;"2023-04-10 15:13:39"
22;"bvc";0;"";6;"2023-04-10 11:35:45"
23;"csff";0;"";6;"2023-04-10 11:35:45"
24;"asdf";0;"";6;"2023-04-10 11:44:45"
25;"jyfh";0;"";6;"2023-04-10 11:44:45"
26;"aszx";0;"";6;"2023-04-10 11:56:34"
27;"cdf";0;"";6;"2023-04-10 11:56:34"
28;"csdd";0;"";6;"2023-04-10 12:03:02"
29;"acd";0;"";6;"2023-04-10 12:03:53"
30;"ss";0;"";6;"2023-04-10 12:03:53"
31;"cv";0;"";6;"2023-04-10 12:03:53"
32;"azc";0;"";6;"2023-04-10 12:03:53"
33;"z";0;"";6;"2023-04-10 12:05:01"
34;"y";0;"";6;"2023-04-14 23:51:25"
35;"OO";0;"";6;"2023-04-14 23:57:02"
36;"aaedf";0;"";6;"2023-04-14 23:57:02"
37;"aas";0;"";6;"2023-04-15 12:26:40"
38;"hgf";0;"";6;"2023-04-15 12:26:40"
39;"tobacco";0;"";6;"2023-04-22 00:39:36"
40;"Pasta";0;"";6;"2023-04-23 10:10:14"
41;"Chicken breasts";0;"";6;"2023-04-23 10:10:14"
42;"Garlic cloves";0;"";6;"2023-04-23 10:10:14"
43;"Alfredo sauce";0;"";6;"2023-04-23 10:10:14"
